; BGConv 使用的 WordConv.txt 檔案
; 維護者: Kii Ali <kiiali@cpatch.org>
; 表格語言: BIG5 / GB2312
L BIG5
; 轉譯方向: B2G / G2B / BOTH
T BOTH
; v1.0.35 by Kii Ali
; v1.0.35 by Kii Ali
S 「
D “
S 」
D ”
S 兒
D 儿
S 屍
D 尸
S 捍
D 扞
S 氣
D 气
S 異
D 异
S 術
D 朮
S 勝
D 胜
S 棲
D 栖
S 湧
D 涌
S 極
D 极
S 萬
D 万
S 聖
D 圣
S 寧
D 宁
S 構
D 构
S 種
D 种
S 網
D 网
S 與
D 与
S 貍
D 狸
S 趕
D 赶
S 價
D 价
S 廠
D 厂
S 憐
D 怜
S 暱
D 昵
S 確
D 确
S 適
D 适
S 噸
D 吨
S 據
D 据
S 機
D 机
S 澱
D 淀
S 燉
D 炖
S 築
D 筑
S 踴
D 踊
S 錄
D 彔
S 霓
D 蜺
S 優
D 优
S 嶺
D 岭
S 濘
D 泞
S 牆
D 墻
S 櫃
D 柜
S 蟲
D 虫
S 豐
D 丰
S 離
D 离
S 壞
D 坏
S 懷
D 怀
S 繭
D 茧
S 臘
D 腊
S 藥
D 葯
S 癢
D 痒
S 蘋
D 苹
S 蠔
D 蚝
S 觸
D 触
S 鏽
D 銹
S 蠟
D 蜡
S 灑
D 洒
S 聽
D 听
S 曬
D 晒
S 驚
D 惊
S 體
D 体
S 蠶
D 蚕
S 鹼
D 堿
S 籬
D 篱
S 鑽
D 鉆
S 凈
D 淨
S 懺
D 忏
